,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
bxpc3+INS_DR1,0.11920817,0.88,0.3376169,0.14264230359548719,0.68,1,24,8,bxpc3+INS
bxpc3+INS_FOXO1,0.02812793,0.7777777777777778,0.17571388,0.05957657921708305,0.6666666666666666,2,16,8,bxpc3+INS
bxpc3+INS_GRB10,0.88286614,0.6666666666666666,0.9354418,1.2873783012339717,0.5,2,4,8,bxpc3+INS
bxpc3+INS_INSR,0.13975228,0.8461538461538461,0.26761493,0.15402921682252124,0.6153846153846154,1,12,8,bxpc3+INS
bxpc3+INS_PTEN,0.15077063,0.44,0.13246776,0.1268662295107945,0.68,1,24,8,bxpc3+INS
bxpc3+INS_SREBF2,0.1456495,1.0,0.19686252,0.06376119934238719,0.7777777777777778,3,6,8,bxpc3+INS
hap1+IFNG_CEBPB,0.50788206,0.6666666666666666,0.55268544,2.1693920275265803,0.3333333333333333,0,6,8,hap1+IFNG
hap1+IFNG_KIN,0.5530452,0.92,1.518572,1.7894377832211643,0.68,0,25,8,hap1+IFNG
hap1+IFNG_RFX5,0.31152087,0.72,0.54189444,2.541052557854486,0.24,0,25,8,hap1+IFNG
hap1+INS_DR1,0.091234885,0.92,0.16233109,1.1771199767857738,0.64,0,25,8,hap1+INS
hap1+INS_FOXO1,0.00032954887,1.0,0.021654556,9.467991710222665e-05,1.0,0,1,8,hap1+INS
hap1+INS_PTEN,2.5519943,1.0,2.6290002,0.14582408738533104,1.0,0,1,8,hap1+INS
hap1+INS_SREBF2,8.336529e-05,1.0,0.011266213,0.0013255279410461624,1.0,0,1,8,hap1+INS
k562+INS_DR1,0.062588066,0.96,0.30746555,1.002907837766814,0.6,0,25,8,k562+INS
k562+INS_FOXO1,0.05501736,0.8888888888888888,0.0796327,0.12203203991657868,0.5555555555555556,4,5,8,k562+INS
k562+INS_GRB10,0.37798908,0.7333333333333333,0.4101934,0.37545288608456584,0.6,10,5,8,k562+INS
k562+INS_INSR,0.006046856,1.0,0.15955684,0.05712901147363347,1.0,0,3,8,k562+INS
k562+INS_PTEN,0.46879703,0.72,0.42080608,1.320735178536697,0.64,13,12,8,k562+INS
k562+INS_SREBF2,0.028170535,0.8333333333333334,0.11481417,0.10226761324286526,0.5,3,3,8,k562+INS
a549+TNFA_CREB1,0.010560661,1.0,0.032133218,0.2604652116690101,0.6666666666666666,0,3,9,a549+TNFA
a549+TNFA_ITCH,0.09071017,0.72,0.14765887,0.7152753373308908,0.68,0,25,9,a549+TNFA
bxpc3+IFNB_AKT1,0.001486467,1.0,0.4008464,0.12773028530827685,0.6,0,5,9,bxpc3+IFNB
bxpc3+IFNB_BRD9,0.30474883,0.7857142857142857,0.39017206,0.30980609196333797,0.5714285714285714,4,10,9,bxpc3+IFNB
bxpc3+IFNB_HES4,0.054846436,0.6666666666666666,0.3040918,0.5263779004784125,0.5555555555555556,2,7,9,bxpc3+IFNB
bxpc3+IFNB_MAPK8,0.02541638,0.7857142857142857,0.14802359,0.1465666062557101,0.7142857142857143,0,14,9,bxpc3+IFNB
bxpc3+IFNB_NFE2L3,0.06546067,0.8421052631578947,0.16509755,0.06596168639157375,0.7368421052631579,1,18,9,bxpc3+IFNB
bxpc3+IFNB_STAT4,0.014056884,0.8571428571428571,0.29114422,0.034737534436568324,0.8571428571428571,0,7,9,bxpc3+IFNB
bxpc3+IFNB_STAT6,0.28836623,0.92,0.51558286,0.429881324670234,0.76,0,25,9,bxpc3+IFNB
bxpc3+IFNB_UBA7,0.1271607,0.88,0.27288067,0.36449135319532533,0.48,3,22,9,bxpc3+IFNB
bxpc3+TGFB_RBL1,0.4720568,0.88,0.46148223,0.8742611417620791,0.44,0,25,9,bxpc3+TGFB
bxpc3+TGFB_SMURF1,0.7065838,0.4,0.6161399,0.30691143148055355,0.8,1,4,9,bxpc3+TGFB
